country;degree_centrality;vulnerability;exportation_strength;hubness;period
US;0,17;0,0;0,06;0,53;202207
CZ;0,33;0,81;0,02;0,53;202207
ES;0,52;0,61;0,03;0,61;202207
CH;0,15;0,0;0,02;0,52;202207
GB;0,17;0,0;0,04;0,53;202207
RU;0,19;0,0;0,03;0,54;202207
PT;0,17;0,89;0,01;0,51;202207
HU;0,35;0,8;0,01;0,54;202207
IE;0,22;0,89;0,01;0,53;202207
SE;0,37;0,78;0,01;0,54;202207
AZ;0,02;0,0;0,0;0,42;202207
RO;0,2;0,87;0,01;0,51;202207
DK;0,15;0,91;0,01;0,48;202207
TR;0,13;0,0;0,01;0,52;202207
SK;0,19;0,91;0,01;0,49;202207
DZ;0,07;0,0;0,01;0,48;202207
JP;0,09;0,0;0,01;0,5;202207
BR;0,09;0,0;0,01;0,51;202207
FI;0,15;0,91;0,0;0,48;202207
ZA;0,04;0,0;0,0;0,47;202207
BG;0,07;0,96;0,0;0,46;202207
GR;0,11;0,91;0,0;0,5;202207
IN;0,11;0,0;0,01;0,51;202207
TW;0,04;0,0;0,0;0,47;202207
SA;0,07;0,0;0,01;0,46;202207
VN;0,06;0,0;0,0;0,49;202207
MY;0,04;0,0;0,0;0,47;202207
KR;0,11;0,0;0,01;0,51;202207
SI;0,11;0,93;0,0;0,49;202207
NG;0,02;0,0;0,0;0,38;202207
QA;0,06;0,0;0,0;0,44;202207
KZ;0,04;0,0;0,0;0,47;202207
LU;0,04;0,96;0,0;0,46;202207
IQ;0,06;0,0;0,0;0,46;202207
LT;0,06;0,96;0,0;0,47;202207
LV;0,02;0,98;0,0;0,32;202207
CA;0,04;0,0;0,0;0,47;202207
MA;0,02;0,0;0,0;0,38;202207
QV;0,02;0,0;0,0;0,35;202207
LY;0,02;0,0;0,0;0,42;202207
MX;0,04;0,0;0,0;0,47;202207
TH;0,04;0,0;0,0;0,47;202207
UA;0,02;0,0;0,0;0,38;202207
BD;0,02;0,0;0,0;0,45;202207
HR;0,02;0,98;0,0;0,42;202207
AU;0,02;0,0;0,0;0,42;202207
NL;0,81;0,44;0,1;0,71;202208
DE;1,04;0,33;0,14;0,78;202208
CN;0,32;0,0;0,12;0,58;202208
BE;0,51;0,63;0,05;0,61;202208
NO;0,14;0,0;0,04;0,51;202208
FR;0,61;0,56;0,05;0,63;202208
PL;0,54;0,7;0,04;0,6;202208
AT;0,3;0,82;0,02;0,53;202208
US;0,19;0,0;0,06;0,55;202208
IT;0,72;0,49;0,04;0,67;202208
CZ;0,3;0,84;0,02;0,52;202208
GB;0,14;0,0;0,04;0,52;202208
ES;0,46;0,67;0,03;0,59;202208
IE;0,21;0,88;0,02;0,52;202208
CH;0,12;0,0;0,02;0,5;202208
HU;0,3;0,81;0,01;0,52;202208
PT;0,14;0,91;0,01;0,5;202208
RU;0,19;0,0;0,03;0,54;202208
SE;0,33;0,79;0,01;0,54;202208
DZ;0,04;0,0;0,01;0,42;202208
DK;0,16;0,89;0,01;0,48;202208
AZ;0,02;0,0;0,0;0,4;202208
RO;0,19;0,86;0,01;0,49;202208
TR;0,12;0,0;0,01;0,51;202208
SK;0,18;0,91;0,01;0,46;202208
FI;0,14;0,91;0,0;0,48;202208
JP;0,05;0,0;0,01;0,47;202208
BG;0,07;0,96;0,0;0,45;202208
GR;0,09;0,93;0,0;0,48;202208
LY;0,02;0,0;0,0;0,4;202208
IN;0,09;0,0;0,01;0,5;202208
VN;0,05;0,0;0,01;0,48;202208
MY;0,04;0,0;0,0;0,46;202208
TW;0,04;0,0;0,0;0,46;202208
NG;0,02;0,0;0,0;0,37;202208
ZA;0,04;0,0;0,0;0,46;202208
SI;0,11;0,93;0,0;0,47;202208
BR;0,09;0,0;0,01;0,5;202208
SG;0,04;0,0;0,0;0,43;202208
KR;0,12;0,0;0,01;0,51;202208
QA;0,04;0,0;0,0;0,4;202208
SA;0,09;0,0;0,01;0,49;202208
IL;0,02;0,0;0,0;0,35;202208
MX;0,04;0,0;0,0;0,46;202208
KZ;0,07;0,0;0,0;0,48;202208
TH;0,04;0,0;0,0;0,46;202208
BD;0,02;0,0;0,0;0,44;202208
LU;0,04;0,96;0,0;0,45;202208
LT;0,09;0,95;0,0;0,47;202208
LV;0,02;0,98;0,0;0,32;202208
MA;0,02;0,0;0,0;0,37;202208
HR;0,02;0,98;0,0;0,36;202208
IQ;0,05;0,0;0,0;0,45;202208
CA;0,04;0,0;0,0;0,45;202208
ID;0,02;0,0;0,0;0,42;202208
UA;0,02;0,0;0,0;0,38;202208
AO;0,02;0,0;0,0;0,39;202208
AU;0,02;0,0;0,0;0,42;202208
NL;0,82;0,44;0,1;0,71;202209
DE;1,07;0,31;0,15;0,8;202209
CN;0,33;0,0;0,11;0,59;202209
FR;0,71;0,49;0,05;0,66;202209
BE;0,47;0,67;0,06;0,59;202209
IT;0,78;0,47;0,05;0,69;202209
PL;0,58;0,67;0,04;0,61;202209
AT;0,29;0,84;0,02;0,54;202209
US;0,16;0,0;0,06;0,53;202209
NO;0,13;0,0;0,03;0,51;202209
CZ;0,35;0,82;0,03;0,55;202209
ES;0,47;0,65;0,04;0,6;202209
CH;0,15;0,0;0,02;0,52;202209
GB;0,16;0,0;0,04;0,53;202209
HU;0,33;0,8;0,01;0,54;202209
PT;0,16;0,89;0,01;0,5;202209
SE;0,36;0,78;0,01;0,55;202209
AZ;0,02;0,0;0,01;0,41;202209
IE;0,2;0,89;0,01;0,52;202209
DK;0,16;0,89;0,01;0,49;202209
RU;0,18;0,0;0,02;0,54;202209
DZ;0,05;0,0;0,01;0,43;202209
SK;0,22;0,87;0,01;0,5;202209
RO;0,18;0,89;0,01;0,51;202209
TR;0,09;0,0;0,01;0,51;202209
JP;0,09;0,0;0,01;0,51;202209
FI;0,11;0,95;0,0;0,47;202209
QA;0,05;0,0;0,01;0,44;202209
AO;0,02;0,0;0,0;0,42;202209
TW;0,04;0,0;0,0;0,47;202209
MY;0,04;0,0;0,0;0,47;202209
VN;0,04;0,0;0,0;0,47;202209
GR;0,09;0,91;0,0;0,49;202209
IN;0,09;0,0;0,01;0,51;202209
LY;0,02;0,0;0,0;0,41;202209
SI;0,11;0,93;0,0;0,48;202209
BG;0,05;0,98;0,0;0,45;202209
KR;0,11;0,0;0,01;0,52;202209
BR;0,09;0,0;0,01;0,51;202209
SA;0,07;0,0;0,01;0,47;202209
ZA;0,04;0,0;0,0;0,47;202209
LU;0,04;0,96;0,0;0,45;202209
CA;0,02;0,0;0,0;0,45;202209
MX;0,04;0,0;0,0;0,45;202209
MA;0,04;0,0;0,0;0,41;202209
LT;0,09;0,95;0,0;0,47;202209
LV;0,02;0,98;0,0;0,32;202209
NG;0,04;0,0;0,0;0,41;202209
BD;0,02;0,0;0,0;0,45;202209
TH;0,04;0,0;0,0;0,47;202209
UA;0,02;0,0;0,0;0,38;202209
KZ;0,04;0,0;0,0;0,47;202209
IQ;0,04;0,0;0,0;0,43;202209
ID;0,02;0,0;0,0;0,42;202209
HR;0,02;0,98;0,0;0,41;202209
QV;0,02;0,0;0,0;0,36;202209
NL;0,87;0,38;0,1;0,73;202210
DE;1,09;0,31;0,15;0,81;202210
CN;0,33;0,0;0,11;0,59;202210
FR;0,65;0,53;0,05;0,64;202210
BE;0,47;0,69;0,06;0,59;202210
PL;0,62;0,64;0,04;0,62;202210
US;0,22;0,0;0,06;0,56;202210
IT;0,82;0,45;0,05;0,69;202210
AT;0,29;0,84;0,02;0,54;202210
CZ;0,33;0,84;0,03;0,54;202210
ES;0,42;0,71;0,04;0,57;202210
GB;0,16;0,0;0,03;0,53;202210
CH;0,13;0,0;0,02;0,52;202210
NO;0,13;0,0;0,02;0,5;202210
PT;0,16;0,89;0,01;0,51;202210
IE;0,22;0,87;0,01;0,52;202210
HU;0,33;0,8;0,01;0,53;202210
SE;0,36;0,78;0,02;0,56;202210
DK;0,22;0,85;0,01;0,5;202210
AZ;0,02;0,0;0,0;0,41;202210
RO;0,2;0,87;0,01;0,52;202210
SK;0,24;0,87;0,01;0,5;202210
TR;0,15;0,0;0,01;0,52;202210
DZ;0,05;0,0;0,01;0,43;202210
JP;0,07;0,0;0,01;0,49;202210
RU;0,2;0,0;0,02;0,54;202210
TW;0,04;0,0;0,01;0,47;202210
FI;0,13;0,93;0,0;0,48;202210
VN;0,05;0,0;0,01;0,49;202210
IN;0,09;0,0;0,01;0,51;202210
BR;0,07;0,0;0,01;0,5;202210
KR;0,11;0,0;0,01;0,52;202210
ZA;0,04;0,0;0,0;0,47;202210
GR;0,13;0,89;0,0;0,5;202210
SA;0,07;0,0;0,01;0,49;202210
QA;0,02;0,0;0,0;0,41;202210
SI;0,11;0,93;0,0;0,49;202210
LY;0,04;0,0;0,0;0,46;202210
MY;0,04;0,0;0,0;0,47;202210
BG;0,09;0,95;0,0;0,46;202210
LU;0,04;0,96;0,0;0,45;202210
NG;0,04;0,0;0,0;0,44;202210
MX;0,02;0,0;0,0;0,45;202210
MA;0,04;0,0;0,0;0,4;202210
LT;0,07;0,95;0,0;0,47;202210
LV;0,02;0,98;0,0;0,32;202210
IQ;0,04;0,0;0,0;0,41;202210
TH;0,04;0,0;0,0;0,47;202210
CA;0,04;0,0;0,0;0,47;202210
SG;0,02;0,0;0,0;0,43;202210
BD;0,02;0,0;0,0;0,45;202210
UA;0,02;0,0;0,0;0,39;202210
HR;0,04;0,96;0,0;0,48;202210
ID;0,02;0,0;0,0;0,34;202210
AU;0,04;0,0;0,0;0,47;202210
TN;0,02;0,0;0,0;0,39;202210
NL;0,83;0,43;0,1;0,72;202211
DE;1,09;0,29;0,16;0,82;202211
CN;0,29;0,0;0,1;0,58;202211
FR;0,66;0,53;0,05;0,64;202211
BE;0,45;0,69;0,05;0,59;202211
PL;0,55;0,69;0,04;0,6;202211
IT;0,71;0,55;0,05;0,65;202211
AT;0,33;0,79;0,02;0,55;202211
US;0,21;0,0;0,06;0,55;202211
CZ;0,31;0,84;0,03;0,54;202211
ES;0,43;0,69;0,04;0,59;202211
CH;0,12;0,0;0,02;0,52;202211
NO;0,09;0,0;0,02;0,49;202211
GB;0,16;0,0;0,03;0,54;202211
HU;0,33;0,81;0,01;0,55;202211
PT;0,16;0,9;0,01;0,52;202211
SE;0,34;0,79;0,02;0,55;202211
IE;0,19;0,9;0,01;0,53;202211
DK;0,19;0,88;0,01;0,5;202211
SK;0,21;0,9;0,01;0,5;202211
RO;0,22;0,84;0,01;0,54;202211
DZ;0,05;0,0;0,01;0,43;202211
TR;0,1;0,0;0,01;0,52;202211
JP;0,07;0,0;0,01;0,5;202211
FI;0,1;0,95;0,0;0,48;202211
AZ;0,02;0,0;0,0;0,4;202211
TW;0,03;0,0;0,01;0,48;202211
RU;0,21;0,0;0,02;0,55;202211
KR;0,09;0,0;0,01;0,51;202211
VN;0,03;0,0;0,0;0,48;202211
IN;0,09;0,0;0,01;0,51;202211
MY;0,03;0,0;0,0;0,48;202211
ZA;0,02;0,0;0,0;0,45;202211
BR;0,05;0,0;0,0;0,49;202211
SA;0,03;0,0;0,0;0,41;202211
SI;0,1;0,93;0,0;0,48;202211
MX;0,05;0,0;0,0;0,48;202211
GR;0,12;0,9;0,0;0,49;202211
LU;0,03;0,97;0,0;0,46;202211
LY;0,03;0,0;0,0;0,47;202211
MA;0,03;0,0;0,0;0,41;202211
BG;0,07;0,97;0,0;0,46;202211
QA;0,05;0,0;0,0;0,46;202211
NG;0,03;0,0;0,0;0,44;202211
LT;0,05;0,97;0,0;0,47;202211
LV;0,02;0,98;0,0;0,32;202211
AE;0,02;0,0;0,0;0,45;202211
KZ;0,03;0,0;0,0;0,46;202211
TH;0,03;0,0;0,0;0,48;202211
AO;0,02;0,0;0,0;0,39;202211
IQ;0,03;0,0;0,0;0,43;202211
HR;0,03;0,97;0,0;0,47;202211
UA;0,02;0,0;0,0;0,38;202211
CA;0,03;0,0;0,0;0,48;202211
AU;0,02;0,0;0,0;0,42;202211
PH;0,02;0,0;0,0;0,45;202211
ID;0,02;0,0;0,0;0,42;202211
BD;0,02;0,0;0,0;0,45;202211
SG;0,02;0,0;0,0;0,42;202211
NL;0,84;0,41;0,1;0,72;202212
DE;1,07;0,32;0,16;0,8;202212
CN;0,29;0,0;0,1;0,57;202212
FR;0,7;0,5;0,05;0,65;202212
BE;0,45;0,7;0,06;0,58;202212
PL;0,59;0,66;0,04;0,61;202212
IT;0,8;0,46;0,05;0,68;202212
AT;0,29;0,84;0,02;0,54;202212
ES;0,48;0,64;0,04;0,6;202212
US;0,18;0,0;0,06;0,54;202212
CZ;0,32;0,84;0,03;0,54;202212
NO;0,16;0,0;0,03;0,53;202212
CH;0,14;0,0;0,02;0,52;202212
GB;0,14;0,0;0,03;0,52;202212
PT;0,14;0,91;0,01;0,51;202212
IE;0,23;0,88;0,02;0,53;202212
HU;0,34;0,82;0,01;0,55;202212
SE;0,38;0,79;0,02;0,56;202212
DZ;0,05;0,0;0,01;0,43;202212
DK;0,18;0,89;0,01;0,49;202212
RO;0,2;0,86;0,01;0,51;202212
SK;0,16;0,91;0,01;0,47;202212
AO;0,02;0,0;0,0;0,42;202212
TR;0,11;0,0;0,01;0,51;202212
RU;0,18;0,0;0,02;0,54;202212
AZ;0,02;0,0;0,0;0,41;202212
JP;0,09;0,0;0,01;0,51;202212
FI;0,16;0,91;0,01;0,49;202212
MY;0,04;0,0;0,0;0,47;202212
TW;0,04;0,0;0,0;0,47;202212
IN;0,09;0,0;0,01;0,51;202212
SA;0,07;0,0;0,01;0,49;202212
KR;0,09;0,0;0,01;0,5;202212
GR;0,09;0,93;0,0;0,48;202212
BG;0,05;0,98;0,0;0,45;202212
VN;0,04;0,0;0,0;0,47;202212
LY;0,02;0,0;0,0;0,41;202212
ZA;0,04;0,0;0,0;0,47;202212
BR;0,07;0,0;0,0;0,5;202212
LU;0,04;0,96;0,0;0,46;202212
KZ;0,05;0,0;0,0;0,49;202212
SI;0,11;0,93;0,0;0,48;202212
QA;0,04;0,0;0,0;0,42;202212
MX;0,04;0,0;0,0;0,46;202212
LT;0,07;0,95;0,0;0,47;202212
MA;0,04;0,0;0,0;0,41;202212
EE;0,02;0,98;0,0;0,33;202212
HR;0,04;0,96;0,0;0,47;202212
SG;0,02;0,0;0,0;0,42;202212
EG;0,02;0,0;0,0;0,41;202212
NG;0,04;0,0;0,0;0,41;202212
TH;0,04;0,0;0,0;0,47;202212
CA;0,04;0,0;0,0;0,47;202212
UA;0,02;0,0;0,0;0,38;202212
IQ;0,02;0,0;0,0;0,42;202212
LV;0,02;0,98;0,0;0,32;202212
BD;0,02;0,0;0,0;0,45;202212
